input_index,input_symbol,input_name,nuisance_variables,record_type,input_physical,threshold_normalized,conditional_exceedance_probability,log10_conditional_exceedance_probability,positive_hvi_fraction,mean_normalized_hvi,median_normalized_hvi,p90_normalized_hvi,p99_normalized_hvi,sampled_profile_maximum_normalized_hvi,selected_input_physical,selected_hvi_normalized,last_positive_input_physical,first_permanent_zero_input_physical,sample_count,iteration,training_count,normalization_maximum,positive_tolerance
1,h,weld thickness,l;t;b,survival_grid,0.125,1e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,1.10775685050971e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,1.22712523985119e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,1.35935639087853e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,1.50583635427984e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,1.66810053720006e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,1.84784979742229e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,2.04696827180752e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,2.2675431258708e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,2.51188643150958e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,2.78255940220713e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,3.08239923974514e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,3.4145488738336e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,3.78248990638938e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,4.19007910578667e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,4.64158883361278e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,5.14175182768393e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,5.69581081073769e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,6.30957344480193e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,6.98947320727348e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
1,h,weld thickness,l;t;b,survival_grid,0.125,7.74263682681128e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11
