record_type,case_id,stress_component,normalized_semispan,trim_stress_mpa,angle_of_attack_deg,half_wing_strain_energy_nm,velocity_m_per_s,maximum_filtered_damping,within_30_150_m_per_s_screen,x1_ar,x2_taper_ratio,x3_primary_member_ratio,x4_secondary_member_ratio,y1_cditrim,y2_ctrim_nm,c_feasible_label,max_trim_skin_vm_mpa,max_trim_cbeam_normal_stress_mpa,mode1_frequency_hz,minimum_modal_frequency_hz,maximum_filtered_flutter_damping
trim_stress,4,shell_von_mises,0.00356927633975489,30.940487990325,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0107121590400117,28.6127879799537,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0178550417402686,29.040760382636,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0249979244405254,29.0563016376564,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0321408071407822,25.7863921600092,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0392836898410391,26.7509819822917,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0464265725412959,25.3121008710028,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0535694552415527,25.7449455577808,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0607123379418096,25.4446231582386,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0678552206420664,23.9400234136503,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0749981033423232,23.6745809694963,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0821409860425801,20.8641731628149,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0892838687428369,21.3134872397538,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.0964267514430937,20.5482845732469,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.103569634143351,19.9016417881534,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.110712516843607,23.2709160737027,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.117855399543864,21.0258455154855,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.124998282244121,21.4222007355903,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.132141164944378,19.5865238085752,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.139284047644635,21.4033521689309,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.146426930344892,23.3226147846962,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.153569813045148,20.0195563254988,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.160712695745405,21.899792917125,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.167855578445662,19.3034974752464,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.174998461145919,20.0671785592815,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.182141343846176,20.6860654192048,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.189284226546433,18.8731028726169,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.196427109246689,22.7922048592501,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.203569991946946,19.7469209642001,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.210712874647203,19.3565001553685,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.21785575734746,19.5891455614297,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.224998640047717,17.9732894848684,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.232141522747974,20.6373130815052,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.23928440544823,17.6885973645738,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.246427288148487,16.3739735072761,,,,,,,,,,,,,,,,,
trim_stress,4,shell_von_mises,0.253570170848744,19.9521496147068,,,,,,,,,,,,,,,,,
