problem,solver,solver_name,information_track,row_kind,dimension,evaluation_index,phase,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y1,Y2,C,audit_margin1,audit_margin2,audit_margin3,audit_margin4,is_pareto,normalized_Y1,normalized_Y2,ga_minimum_Y1,ga_range_Y1,ga_minimum_Y2,ga_range_Y2
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,1,initial,0.8251801482879827,0.21522891616820408,0.31802629072565758,0.63621898916583086,,,,,,,1.2640720712054963,0.65729644228946893,1,-0.71010970138524776,,,,0,0.89527216018540545,0.65729634956666416,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,2,initial,0.2997940306932948,0.31430110012491191,0.86767604669086063,0.32505397415149245,,,,,,,1.1340171160606538,0.80991225174492676,1,-0.25698445968577344,,,,0,0.80316144649461096,0.80991220031426969,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,3,initial,0.55242862503503287,0.012860335702511078,0.60145706665208698,0.96305139527973771,,,,,,,0.5837766263791383,1.4138465721124351,1,-0.18731655316711449,,,,0,0.41345661633499986,1.413846684083887,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,4,initial,0.4397467193475002,0.67634095598229127,0.57100216854442698,0.37727825661723835,,,,,,,0.53040213098682876,0.59424731101177519,0,0.78223781056043828,,,,0,0.37565442065551735,0.59424720123022634,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,5,initial,0.77456417655926979,0.54629944308206313,0.83008473400141403,0.1446954580496207,,,,,,,0.79596410109321103,0.54411053881026017,0,0.65823039252706894,,,,0,0.56373723970989276,0.5441104154635702,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,6,initial,0.73405273612737587,0.071528366879578614,0.49571567932346899,0.0091767023888728091,,,,,,,0.80157114744249314,1.1630860024291201,1,-0.029378181662523817,,,,0,0.56770839975031218,1.1630860465541117,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,7,initial,0.35452045341682936,0.4019996988917186,0.11265798838852663,0.45518916842087565,,,,,,,0.40629897284315164,0.79146265070974808,0,0.2516412570136532,,,,0,0.28775903477679665,0.7914625942873168,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,8,initial,0.080942071175068395,0.62517322268528142,0.22606540187531921,0.80420973487625724,,,,,,,0.1478409206263725,1.67137246274942,1,-0.14546828145441815,,,,0,0.10470752687918106,1.6713726443977759,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,9,initial,0.4859325740462544,0.81178074646021603,0.74622893685158775,0.8784359020632504,,,,,,,0.71783339109614452,0.93977797743357028,1,-0.021529708587768259,,,,0,0.5084015898610782,0.93977796113973644,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
CF1_D4,ctsemo,cTSEMO,binary_label,solver_evaluation,4,10,initial,0.20902906062700044,0.49929539473903406,0.75284101155894567,0.20150752204959316,,,,,,,0.95690140890655928,0.81764859414198576,0,0.16899145698228657,,,,0,0.67772021149019146,0.81764854480449445,0,1.4119416725118701,2.7056264101680599e-07,0.99999972943735893
