record_type,pair_id,input_a,input_b,grid_a,grid_b,x1,x2,x3,x4,hvi_draw,evaluation_index,stage,sequential_iteration,objective_y1,objective_y2,constraint_label,feasible,is_selected
slice_grid,1,1,2,0,0,0.125,0.1,5.97146366710117,3.10956235475317,1.96525220232774,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.0416666666666667,0.125,0.5125,5.97146366710117,3.10956235475317,0.20453091598602,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.0833333333333333,0.125,0.925,5.97146366710117,3.10956235475317,2.26750692938807,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.125,0.125,1.3375,5.97146366710117,3.10956235475317,3.40237472174706,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.166666666666667,0.125,1.75,5.97146366710117,3.10956235475317,6.99530960286058,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.208333333333333,0.125,2.1625,5.97146366710117,3.10956235475317,8.16953858578571,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.25,0.125,2.575,5.97146366710117,3.10956235475317,5.06631199102684,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.291666666666667,0.125,2.9875,5.97146366710117,3.10956235475317,3.47265352695536,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.333333333333333,0.125,3.4,5.97146366710117,3.10956235475317,0.100125262937995,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.375,0.125,3.8125,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.416666666666667,0.125,4.225,5.97146366710117,3.10956235475317,1.53914876634267,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.458333333333333,0.125,4.6375,5.97146366710117,3.10956235475317,0.331284479285094,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.5,0.125,5.05,5.97146366710117,3.10956235475317,0.60383792965631,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.541666666666667,0.125,5.4625,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.583333333333333,0.125,5.875,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.625,0.125,6.2875,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.666666666666667,0.125,6.7,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.708333333333333,0.125,7.1125,5.97146366710117,3.10956235475317,0.0669646579928586,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.75,0.125,7.525,5.97146366710117,3.10956235475317,0.212585954447902,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.791666666666667,0.125,7.9375,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.833333333333333,0.125,8.35,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.875,0.125,8.7625,5.97146366710117,3.10956235475317,0.0697533718024346,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.916666666666667,0.125,9.175,5.97146366710117,3.10956235475317,0.64436578434489,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,0.958333333333333,0.125,9.5875,5.97146366710117,3.10956235475317,2.38647006689635,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0,1,0.125,10,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0,0.328125,0.1,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.0416666666666667,0.328125,0.5125,5.97146366710117,3.10956235475317,0.557569139339864,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.0833333333333333,0.328125,0.925,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.125,0.328125,1.3375,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.166666666666667,0.328125,1.75,5.97146366710117,3.10956235475317,0.0202607582994966,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.208333333333333,0.328125,2.1625,5.97146366710117,3.10956235475317,1.12620458975214,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.25,0.328125,2.575,5.97146366710117,3.10956235475317,4.26248738752104,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.291666666666667,0.328125,2.9875,5.97146366710117,3.10956235475317,2.95097073158823,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.333333333333333,0.328125,3.4,5.97146366710117,3.10956235475317,2.2247995883702,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.375,0.328125,3.8125,5.97146366710117,3.10956235475317,0.960933745856449,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.416666666666667,0.328125,4.225,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.458333333333333,0.328125,4.6375,5.97146366710117,3.10956235475317,1.26413338837897,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.5,0.328125,5.05,5.97146366710117,3.10956235475317,0.678283632821014,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.541666666666667,0.328125,5.4625,5.97146366710117,3.10956235475317,0.188158300559036,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.583333333333333,0.328125,5.875,5.97146366710117,3.10956235475317,0.507256439991975,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.625,0.328125,6.2875,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.666666666666667,0.328125,6.7,5.97146366710117,3.10956235475317,0,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.708333333333333,0.328125,7.1125,5.97146366710117,3.10956235475317,0.150161269392738,NaN,,NaN,NaN,NaN,NaN,NaN,0
slice_grid,1,1,2,0.0416666666666667,0.75,0.328125,7.525,5.97146366710117,3.10956235475317,0.383926834566665,NaN,,NaN,NaN,NaN,NaN,NaN,0
