record_type,problem_id,display_name,dimension,replicate,sequential_evaluations,total_evaluations,evaluation_index,stage,sequential_iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_y1,objective_y2,constraint_label,feasible,seed_1_normalized_hv,seed_2_normalized_hv,seed_3_normalized_hv,seed_4_normalized_hv,seed_5_normalized_hv,median_normalized_hv
curve,WELDEDBEAM,Welded beam D4,4,NaN,0,20,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16022880269589,1.17109998671141,1.15421945173544,1.16162216685641,1.16055779455622,1.16055779455622
curve,WELDEDBEAM,Welded beam D4,4,NaN,1,21,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16941586304707,1.17109998671141,1.15421945173544,1.16162216685641,1.16055779455622,1.16162216685641
curve,WELDEDBEAM,Welded beam D4,4,NaN,2,22,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16941586304707,1.17109998671141,1.15476195872677,1.16162216685641,1.16055779455622,1.16162216685641
curve,WELDEDBEAM,Welded beam D4,4,NaN,3,23,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16941586304707,1.17109998671141,1.15476195872677,1.16162216685641,1.16055779455622,1.16162216685641
curve,WELDEDBEAM,Welded beam D4,4,NaN,4,24,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16941586304707,1.17312688371272,1.15538618764111,1.16162216685641,1.16055779455622,1.16162216685641
curve,WELDEDBEAM,Welded beam D4,4,NaN,5,25,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17014512310988,1.17448739451564,1.15538618764111,1.16162216685641,1.16055779455622,1.16162216685641
curve,WELDEDBEAM,Welded beam D4,4,NaN,6,26,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17014512310988,1.17448739451564,1.16206040403224,1.16162216685641,1.16589577225221,1.16589577225221
curve,WELDEDBEAM,Welded beam D4,4,NaN,7,27,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17014512310988,1.17533327172112,1.16987815639439,1.16162216685641,1.16589577225221,1.16987815639439
curve,WELDEDBEAM,Welded beam D4,4,NaN,8,28,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17302780921488,1.17533327172112,1.17027490719375,1.16162216685641,1.16589577225221,1.17027490719375
curve,WELDEDBEAM,Welded beam D4,4,NaN,9,29,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17302780921488,1.17533327172112,1.17027490719375,1.16162216685641,1.16631634229293,1.17027490719375
curve,WELDEDBEAM,Welded beam D4,4,NaN,10,30,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17337481724836,1.17533327172112,1.17027490719375,1.16162216685641,1.16937224099147,1.17027490719375
curve,WELDEDBEAM,Welded beam D4,4,NaN,11,31,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.173599270177,1.17533327172112,1.17027490719375,1.16162216685641,1.16937224099147,1.17027490719375
curve,WELDEDBEAM,Welded beam D4,4,NaN,12,32,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.173599270177,1.17533327172112,1.17326853220239,1.16162216685641,1.16937224099147,1.17326853220239
curve,WELDEDBEAM,Welded beam D4,4,NaN,13,33,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17371807824526,1.17533327172112,1.17590727094193,1.16162216685641,1.16937224099147,1.17371807824526
curve,WELDEDBEAM,Welded beam D4,4,NaN,14,34,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17371807824526,1.17533327172112,1.18310717672573,1.16162216685641,1.16937224099147,1.17371807824526
curve,WELDEDBEAM,Welded beam D4,4,NaN,15,35,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17371807824526,1.17533327172112,1.18986728771859,1.16162216685641,1.1823951477434,1.17533327172112
